Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude,Longitude
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,E100001000957,Industries Qatar QPSC [49.0%]; unknown [5.0%]; Groupe Industriel Sider SpA,E100000000840 [49.0%]; E100000132388 [5.0%]; E100001000960,Jijel,Algeria,Africa,8,2017,2400,operating,2200,36.753961,6.24442
P100000121198,Ozmert Algeria steel plant,Ozmert Algeria SARL,E100001012196,Ozmert Algeria SARL [100.0%],E100001012196 [100.0%],Tebessa,Algeria,Africa,,,,operating,800,35.47858,-0.62139
P100000120440,Sider El Hadjar Annaba steel plant,Groupe Industriel Sider SpA,E100001000960,Groupe Industriel Sider SpA [100.0%],E100001000960 [100.0%],Annaba,Algeria,Africa,56,1969,5748,operating,2150,36.795924,7.707633
P100000120441,Tosyali Algerie Oran steel plant,Tosyali Ironsteel Industry Algerie SpA,E100000131071,Tosyalı Holding AŞ,E100001000709,Oran,Algeria,Africa,12,2013,8000,operating,6200,35.770912,-0.263031
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,E100000131097,Sa Machado Lda,E100002003632,Bengo,Angola,Africa,10,2015,600,operating,500,-8.5824,13.405271
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Companhia Siderurgica do Cuchi SA,E100001012404,Ferrangoland; Modulax Industria E Comercio Ltda,E100001012406; E100001012405,Cuando Cubango,Angola,Africa,2,,1200,operating,1350,-14.650166,16.925606
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,E100001010109,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Santa Fe,Argentina,Central & South America,79,1946,1624,operating,2000,-33.249936,-60.300415
P100000120009,Gerdau Sipar Pérez steel plant,Sipar Aceros SA,E100001010274,Gerdau SA [98.1%],E100001010270 [98.1%],Santa Fe,Argentina,Central & South America,8,2017,787,operating,650,-32.9912336,-60.7588733
P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],Buenos Aires,Argentina,Central & South America,65,,2993,operating,1720,-34.152554,-58.977388
P100000120008,Ternium Siderar San Nicolás steel plant,Ternium Argentina SA,E100000130688,Ternium Argentina SA [100.0%],E100000130688 [100.0%],Buenos Aires,Argentina,Central & South America,65,1960,3274,operating,3501,-33.37365,-60.138697
P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],New South Wales,Australia,Asia Pacific,97,1928,3000,operating,3200,-34.463834,150.886191
