name,former_name,logo,logo_size,logo_caption,image,image_size,image_caption,type,traded_as,founder,location_city,location_country,area_served,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,foundation,homepage,image_upright,ISIN,predecessor,founded,hq_location,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,num_employees_year,divisions,footnotes,founders,location,services,aum,predecessors,production,owners,brands,locations,hq_location_city,hq_location_country,num_locations,num_locations_year,profit,profit_year,ratio,rating,website,parent,logo_class,module,former_names,image_alt,logo_upright,trade_name,native_name,areas_served
Adidas AG,Gebrüder Dassler Schuhfabrik (1924–1949),Adidas 2022 logo.svg,200,Main logo since 2022,Herzogenaurach - Adidas - 2016.jpg,250,"Current factory outlet in Herzogenaurach, Germany.",[[Public company|Public]],{{FWB|ADS|isin|=|DE000A1EWWW0}} <br />[[DAX|DAX component]],[[Adolf Dassler]],"[[Herzogenaurach]], Bavaria",Germany,Worldwide,"{{plainlist|
* [[Thomas Rabe (manager)|Thomas Rabe]] ([[chairman]])|ref|{{cite web |url=https://www.adidas-group.com/en/about/supervisory-board/ |title=Supervisory Board |website=Adidas Group |access-date=20 October 2021 |archive-date=18 August 2021 |archive-url=https://web.archive.org/web/20210818085730/https://www.adidas-group.com/en/about/supervisory-board/ |url-status=dead }}|</ref>|
* Bjørn Gulden ([[CEO]])}} * Bjørn Gulden ([[CEO]])","[[Textile industry|Textile]], [[Footwear#Footwear industry|footwear]]","[[clothing|Apparel]], [[footwear]], [[sportswear]], [[sports equipment]], [[toiletries]]",{{Increase}} [[Euro|€]]23.683&nbsp;billion (2024),{{Increase}} €1.249&nbsp;billion (2024),{{Increase}} €756&nbsp;million (2024),{{Increase}} €20.655&nbsp;billion (2024),{{Increase}} €5.868&nbsp;billion (2024),"62,035 (2024)",{{ubl|[[Adidas Runtastic]]|Matix}},"{{start date and age|df|=|yes|1924|7}} in [[Herzogenaurach]], Germany (as Gebrüder Dassler Schuhfabrik)<br /> {{start date and age|1949|8|18|df|=|yes}} (as Adidas)",{{URL|https://www.adidas.com/|adidas.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus SE,"{{Indented plainlist|
* '''Parent company:'''
* European Aeronautic Defence and Space Company NV (EADS) (2000–2014)
* Airbus Group NV (2014–2015)
* Airbus Group SE (2015–2017)
* '''Subsidiary:'''
* Airbus Industrie GIE (1970–2001)
* Airbus SAS (2001–current)
* Airbus Military (2008-2014)}}",Airbus Logo 2017.svg {{!}} class=skin-invert,180px,,Airbus Lagardère - Aéroconstellation.jpg,250px,"Lagardère production plant in [[Blagnac]], France",[[Public company|Public]],"{{Plainlist|
* |BMAD|isin|=|NL0000235190|AIR|
* |EuronextParis|AIR|NL0000235190|XPAR|
* |FWB|AIR|isin|=|NL0000235190|
* [[CAC 40]] component
* [[DAX]] component
* [[Euro Stoxx 50]] component}} {{BMAD|isin|=|NL0000235190|AIR}} * {{EuronextParis|AIR|NL0000235190|XPAR}} * {{FWB|AIR|isin|=|NL0000235190}} * [[CAC 40]] component
* [[DAX]] component
* [[Euro Stoxx 50]] component",,,,Worldwide,"{{plainlist|
* [[Guillaume Faury]] ([[Chief executive officer|CEO]])
* [[René Obermann]] ([[chairman]])}}","{{ubl
|[[Aerospace manufacturer|Aerospace]]
|[[Arms industry|Defence]]}}","{{hlist
  | [[Airbus A220|A220]]
  | [[Airbus A320neo family|A320neo]]
  | [[Airbus A330neo|A330neo]]
  | [[Airbus A350|A350]]}}",{{Increase}} &nbsp; {{€|69.23 billion|link|=|yes}},{{Increase}} {{€|5.30 billion}},{{Increase}} &nbsp; {{€|4.23 billion}},{{Increase}} &nbsp; {{€|129.21 billion}},{{Increase}} &nbsp; {{€|19.70 billion}},"156,921","{{plainlist|
* [[Airbus Group, Inc.]]
* [[Airbus Corporate Jets]]
* [[Composite Technology Center]]
* [[Helibras]]
* [[Metron Aviation]]
* [[NAVBLUE]]
* [[NHIndustries]] (62.5%)
* [[Premium AEROTEC]]
* [[Satair]]
* [[Airbus Atlantic]]
* [[Tesat-Spacecom]]
* [[Testia]]}}",,{{official url}},1.2,NL0000235190,"[[Aérospatiale]], [[CASA (aircraft manufacturer)|CASA]], [[DASA]], [[Matra]]",{{Start date and age|1970|12|18|df|=|y}},"{{Indented plainlist|
* [[Leiden]], Netherlands (legal headquarters)
* [[Blagnac]], France (main office of operations)}}",2024,2024,2024,2024,2024,"{{Indented plainlist|
* [[SOGEPA]] (French Government): 10.9%|ref|[https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Airbus_9m_2023_Presentation.pdf Airbus 9m Results 2023]. p.29. ''The Drive''. 8 November 2023.|</ref>|
* |ill|GZBV|de|Gesellschaft zur Beteiligungsverwaltung| (German Government): 10.8%|ref| name=""Airbus 9m Results 2023""|[https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Airbus_9m_2023_Presentation.pdf Airbus 9m Results 2023].  p.29. ''The Drive''. 8 November 2023.|</ref>|
* [[Sociedad Estatal de Participaciones Industriales|SEPI]] (Spanish Government): 4.1%|ref| name=""Airbus 9m Results 2023""|ref| name=""shares2022""|{{cite web |title=Shareholding Structure at 31 December 2022 |url=https://www.airbus.com/sites/g/files/jlcbta136/files/2023-02/Airbus%20FY%202022%20Results%20Presentation_0.pdf|website=Airbus |access-date=22 April 2023 |language=en}}|</ref>|}} * {{ill|GZBV|de|Gesellschaft zur Beteiligungsverwaltung}} (German Government): 10.8% * [[Sociedad Estatal de Participaciones Industriales|SEPI]] (Spanish Government): 4.1%",2024,"{{plainlist|
* [[Airbus Defence and Space|Defence and Space]]
* [[Airbus Helicopters|Helicopters]]}}",Financials {{as of|2024|12|31|lc|=|y}} .<br />References:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allianz,,Allianz.svg,,,Wzwz_schwabing_26_allianz_building.JPG,,Headquarters in Munich,[[Public company|Public]] (''[[societas Europaea]]''),{{ubl|FWB|ALV|[[DAX]] component}} {{FWB|ALV}},,,,[[World]]wide,"{{ubl|[[Oliver Bäte]] ([[CEO]]) |[[Michael Diekmann]] (chair, supervisory board)}}",[[Financial services]],,{{increase}} [[Euro|€]]179.8&nbsp;billion (2024),{{increase}} €16.02&nbsp;billion (2024),{{increase}} €10.54&nbsp;billion (2024),{{increase}} €1.045&nbsp;trillion (2024),{{increase}} €60&nbsp;billion (2024),"156,626 (2024)",{{ubl|[[AGF (company)|Allianz France]]|[[Allianz Global Investors]]|[[Allianz Life]]|[[Bajaj Finserv#Subsidiaries|Bajaj Allianz]]|[[Allianz Trade]]|[[PIMCO]]}},"{{Start date and age|1890|02|5|df|=|y}} in [[Munich]], [[Germany]]",{{URL|allianz.com/|Allianz.com}},,,,,,,,,,,,,,,{{ubl|[[Carl von Thieme]]|[[Wilhelm von Finck]]}},"[[Munich]], Germany",{{ubl|[[Insurance]] |[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] |[[Mortgage loan]]s |[[Investment management]] | [[Asset management]] |[[Mutual fund]]s}},{{nowrap|increase| €2.448&nbsp;trillion (2024)}} {{increase}} €2.448&nbsp;trillion (2024),,,,,,,,,,,,,,,,,,,,,,,
BASF SE,,BASF-Logo bw.svg,205px,,,,,[[Public company|Public]],{{ubl|FWB|BAS|isin|=|DE000BASF111|[[DAX]] component}} {{FWB|BAS|isin|=|DE000BASF111}},[[Friedrich Engelhorn]],,,,{{ubl|Jürgen Hambrecht <small>(chairman of the [[supervisory board]])</small>| Markus Kamieth (CEO)}},[[Chemical industry|Chemicals]],"Chemicals, plastics, performance chemicals, [[catalyst]]s, [[coating]]s, [[Agricultural science|crop technology]], [[crude oil]] and natural gas [[Hydrocarbon exploration|exploration]] and production",{{decrease}} {{€|68.9&nbsp;billion|link|=|yes}} (2023),{{decrease}} €2.24&nbsp;billion (2023),{{increase}} €225&nbsp;million (2023),{{decrease}} €77.4&nbsp;billion (2023),{{decrease}} €36.6&nbsp;billion (2023),"{{increase}} 111,991 (end 2023)","[[Wintershall]], Nunhems, TrinamiX, [[Cognis]], BTC Europe, Chemster, Siegfried PharmaChemikalien Minden, [[Verenium Corporation]], Isobionics, Succinity, Pinturas Thermicas del Norte","{{start date and age|1865|04|6|df|=|yes}} (as Badische Anilin- und Sodafabrik); [[Mannheim]], [[Grand Duchy of Baden|Baden]], Germany",{{URL|basf.com}},,{{ISIN|sl|=|n|pl|=|y|DE000BASF111}},,,,,,,,,,,,,,"[[Ludwigshafen]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,
Bayer AG,,Logo Bayer.svg,160px,,Leverkusen Kaiser-Wilhelm-Allee 0004.jpg,,Headquarters in Leverkusen,[[Public company|Public]],{{ubl|class|=|nowrap|FWB|BAYN|[[DAX]] component|[[Euro Stoxx 50]] component}} {{FWB|BAYN}},[[Friedrich Bayer]],,,Worldwide,"{{Plainlist|
* [[Bill Anderson (businessman)|Bill Anderson]] (CEO)
* Norbert Winkeljohann (chairman of the [[supervisory board]])}}","{{plainlist|
* [[Pharmaceutical industry|Pharmaceuticals]]
* [[Chemical industry|Chemicals]]
* [[Biotechnology]]
* [[Healthcare industry|Healthcare]]}}",{{hlist|Prescription pharmaceuticals|[[Medical imaging|diagnostic imaging]]|therapeutics|[[over-the-counter drug]]s|[[pesticides]]|[[seeds]]|[[Plant breeding|plant biotechnology]]}},{{decrease}} {{€|46.6&nbsp;billion|link|=|yes}} (2024),{{decrease}} €&minus;71&nbsp;million (2024),{{increasenegative}} €&minus;2.6&nbsp;billion (2024),{{increase}} €102&nbsp;billion (2024),{{increase}} €43.3&nbsp;billion (2024),"92,815 (2024)",,{{start date and age|1863|08|01|df|=|y|br|=|y}},{{url|https://www.bayer.com/|bayer.com}},,,,,,,,,,,,,,,,"[[Leverkusen]], [[North Rhine-Westphalia]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,
Beiersdorf AG,,Beiersdorf Logo.svg {{!}} class=skin-invert-image,250px,Beiersdorf's logo used since January 2014,Beiersdorf Headquarters Hamburg 1.jpg,250px,"Headquarters in [[Hamburg]], Germany",[[Public company|Public]] ([[Aktiengesellschaft|AG]]),{{Unbulleted list | |FWB|BEI| | [[DAX]] component}} {{FWB|BEI}},[[Paul Beiersdorf]],,,Worldwide,"{{plainlist|
* Vincent Warnery<br>|small|(CEO and Chairman of the executive board)|
* [[Reinhard Pöllath]]<br>|small|(Chairman of the supervisory board)|}} {{small|(CEO and Chairman of the executive board)}} * [[Reinhard Pöllath]]<br> {{small|(Chairman of the supervisory board)}}",[[Fast-moving consumer goods|Consumer goods]],{{hlist|[[Skin care]]|[[Personal care]]}},{{increase}} {{€|9.85&nbsp;billion|link|=|yes}} (2024),{{increase}} €1.29&nbsp;billion (2024),{{increase}} €928&nbsp;million (2024),{{increase}} €7.71&nbsp;billion (2024),{{decrease}} €2.54&nbsp;billion (2024),"22,791 (2024)",,{{Start date and age|1882|03|28|df|=|y}},{{url|https://www.beiersdorf.com/|beiersdorf.com}},,,,,,,,,,,Maxingvest (50.49%),,,,,"[[Hamburg]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,
Bayerische Motoren Werke Aktiengesellschaft,,BMW logo (white + grey background square).svg,,Official logo since 2020,"4 cilindros de BMW, Múnich, Alemania1.jpg",,"[[BMW Headquarters]] in Munich, Germany",[[Public company|Public]],{{unbulleted list| |FWB|BMW| |[[DAX]] component}} {{FWB|BMW}},,[[Munich]],Germany,Worldwide,"{{Plainlist|
* [[Oliver Zipse]] (chairman of management board)
* |ill|Nicolas Peter|de| (chairman of supervisory board)}} {{ill|Nicolas Peter|de}} (chairman of supervisory board)",[[Automotive industry|Automotive]],{{Hlist|[[Car]]s|[[motorcycle]]s|[[bicycle]]s}},{{Increase}} {{Euro|155.50|link|=|yes}} [[Billion (short scale)|billion]] (2023),{{Decrease}} {{Euro|17.096}} billion (2023),{{Decrease}} {{Euro|12.165}} billion (2023),{{Increase}} {{Euro|250.89}} billion (2023),{{Increase}} {{Euro|92.923}} billion (2023),"154,950 (2023)",,{{Start date and age|1916|3|7}} <br>(official date) {{Paragraph break}} {{Start date and age|1922|df|=|y}} <br>(''de facto'' date),{{ubl|URL|bmwgroup.com| (corporate)|URL|bmw.com| (brand)}} {{URL|bmwgroup.com}} (corporate) {{URL|bmw.com}} (brand),,,,,,,,,,,,,,,[[Camillo Castiglioni]]<br>[[Franz Josef Popp]],,"Car-sharing services, financing, leasing, insurance and other financial services",,"{{Plainlist|
* [[Otto Flugmaschinenfabrik]]
* [[Rapp Motorenwerke]]
* [[Automobilwerk Eisenach|Fahrzeugfabrik Eisenach]]}}","{{Ubl|class|=|nowrap|Increase| 2,661,922 cars (2023)|Increase| 221,988 motorcycles (2023)|ref| name=""AR2023""}} {{Increase}} 2,661,922 cars (2023) {{Increase}} 221,988 motorcycles (2023)",{{Ubl|[[Stefan Quandt]] (25.8%)|[[Susanne Klatten]] (20.9%)|[[Public]] (53.4%)|ref|{{Cite web|url=https://www.bmwgroup.com/en/investor-relations/bmw-shares.html|title=BMW shares. Mikaeel Collier (100%) Shareholder structure|website=www.bmwgroup.com|access-date=11 July 2023}}|</ref>}},"{{Unbulleted list|'''Automobiles'''|[[#Automobiles|BMW]] ([[BMW i|i]], [[BMW M|M]], [[BMW X|X]], [[BMW Z|Z]], [[Alpina]])|[[Mini (marque)|Mini]]|[[Rolls-Royce Motor Cars|Rolls-Royce]]|'''Motorcycles'''|[[BMW Motorrad]]}}",,,,,,,,,,,,,,,,,,,
Brenntag SE,,Brenntag Logo 2022.svg,250px,,,,,[[Public company|Public]] (''[[Societas Europaea]]''),{{Unbulleted list |FWB|BNR| |FWB|BNRA| ([[American Depositary Receipt|ADR]]) |[[DAX]] component (BNR)}} {{FWB|BNR}} {{FWB|BNRA}} ([[American Depositary Receipt|ADR]]),Philipp Mühsam,[[Essen]],[[Germany]],,Jens Birgersson ([[chief executive officer|CEO]])<br>Richard Ridinger ([[Chairman]] of the [[Supervisory board]]),[[Distribution (business)|Distribution]],,{{decrease}} €16.8 billion (2023),,,,,"17,709 (2023)",,{{Start date and age|1874}},{{URL|brenntag.com}},,{{ISIN|sl|=|n|pl|=|y|DE000A1DAHH0}} <br> {{ISIN|sl|=|n|pl|=|y|US1071801013}},,,,,,,,,,,,,,,[[Chemical industry|Chemical]] and ingredients distribution,,,,,,600,,,,,,,,,,,,,,,,,,
Commerzbank AG,,Commerzbank (2009).svg,,,Frankfurt_Commerzbank_vom_Schaumainkai.jpg,,"[[Commerzbank Tower]], the headquarters of Commerzbank in  [[Innenstadt (Frankfurt am Main)|Innenstadt]], [[Frankfurt]]",[[Public company|Public]],{{FWB|CBK}} <br>[[DAX]],,,,Worldwide,{{Unbulleted list|ill|Bettina Orlopp|de|<br />(chairwoman of the [[Vorstand|Board of Managing Directors]])|[[Jens Weidmann]]<br />(chairman of the [[Supervisory Board]])}} {{ill|Bettina Orlopp|de}} <br />(chairwoman of the [[Vorstand|Board of Managing Directors]]),[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{increase}} [[€]]11.1 billion,{{increase}} €3.8 billion,,€592.951 billion (Q3 2025),"{{increase}} €34,4 billion","46,218",,,,,{{ISIN|sl|=|n|pl|=|y|DE000CBK1001}},,{{Start date and age|1870|02|26|df|=|y}} in [[Hamburg]],[[Commerzbank Tower]],2024,2024,,2024,2024,,2025,,[https://investor-relations.commerzbank.com/ Commerzbank Investor Relations],Theodor Wille et al.,,,,,,,{{Unbulleted list|[[Comdirect Bank]]|[[mBank]]}},,[[Frankfurt am Main]],Germany,15 operational foreign branches and 27 representative offices in over 40 countries,2023,{{increase}} €2.7 billion,2024,15.1% (2024),{{Unbulleted list|BBB ([[S&P Global]])|Baa2 ([[Moody's]])}},{{Official URL}},,,,,,,,,
Covestro AG,,Covestro Logo.svg,150px,,,,,''[[Aktiengesellschaft]]'',"{{plainlist|
* |FWB|1COV|}} {{FWB|1COV}}",,"[[Leverkusen]], [[North Rhine-Westphalia]]",[[Germany]],,Markus Steilemann (CEO),{{ubl|[[Chemical industry|Chemicals]]|[[Materials science|Materials]]}},,{{increase}} {{€|18.0 billion|link|=|yes}} (2022),{{decrease}} {{€|0.3 billion}} (2022),{{decrease}} {{€|-0.3 billion}} (2022),{{decrease}} {{€|14.6 billion}} (2022),{{decrease}} {{€|7.1 billion}} (2022),"17,985 (2022)",,{{start date and age|2015|9|1|df|=|yes}},{{URL|https://www.covestro.com/}},,,[[Bayer|Bayer MaterialScience]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
