Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,E100001000957,Industries Qatar QPSC [49.0%]; unknown [5.0%]; Groupe Industriel Sider SpA,E100000000840 [49.0%]; E100000132388 [5.0%]; E100001000960,Jijel,Algeria,Africa,8,2017,2400,operating,2200,36.753961,6.24442,POINT (695125.6546993334 4404867.38634795),54845.716740088894,23.875,68.20833333,7096.292,10.912
P100000121198,Ozmert Algeria steel plant,Ozmert Algeria SARL,E100001012196,Ozmert Algeria SARL [100.0%],E100001012196 [100.0%],Tebessa,Algeria,Africa,,,,operating,800,35.47858,-0.62139,POINT (-69172.81838403226 4229109.952100941),54845.716740088894,23.875,68.20833333,7805.798,10.912
P100000120440,Sider El Hadjar Annaba steel plant,Groupe Industriel Sider SpA,E100001000960,Groupe Industriel Sider SpA [100.0%],E100001000960 [100.0%],Annaba,Algeria,Africa,56,1969,5748,operating,2150,36.795924,7.707633,POINT (858009.7807814316 4410699.270578086),54845.716740088894,23.875,68.20833333,6939.473,10.912
P100000120441,Tosyali Algerie Oran steel plant,Tosyali Ironsteel Industry Algerie SpA,E100000131071,Tosyalı Holding AŞ,E100001000709,Oran,Algeria,Africa,12,2013,8000,operating,6200,35.770912,-0.263031,POINT (-29280.476982845543 4269144.829734429),54845.716740088894,23.875,68.20833333,7774.428,10.912
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,E100000131097,Sa Machado Lda,E100002003632,Bengo,Angola,Africa,10,2015,600,operating,500,-8.5824,13.405271,POINT (1492267.9416658373 -958981.3062536884),10417737.629686857,22.29166667,68.95833333,7108.623,16.159
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Companhia Siderurgica do Cuchi SA,E100001012404,Ferrangoland; Modulax Industria E Comercio Ltda,E100001012406; E100001012405,Cuando Cubango,Angola,Africa,2,,1200,operating,1350,-14.650166,16.925606,POINT (1884149.8412875757 -1648915.7186066369),93191842.22818245,9.375,76.375,7146.419,18.35
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,E100001010109,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Santa Fe,Argentina,Central & South America,79,1946,1624,operating,2000,-33.249936,-60.300415,POINT (-6712611.492423075 -3928525.9712794633),64633.832128563045,23.625,68.20833333,15769.866,11.077
P100000120009,Gerdau Sipar Pérez steel plant,Sipar Aceros SA,E100001010274,Gerdau SA [98.1%],E100001010270 [98.1%],Santa Fe,Argentina,Central & South America,8,2017,787,operating,650,-32.9912336,-60.7588733,POINT (-6763646.836929025 -3894140.4282149686),64633.832128563045,23.625,68.20833333,15801.78,11.077
P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],Buenos Aires,Argentina,Central & South America,65,,2993,operating,1720,-34.152554,-58.977388,POINT (-6565332.800477323 -4049304.741536475),64633.832128563045,23.625,68.20833333,15688.028,11.077
P100000120008,Ternium Siderar San Nicolás steel plant,Ternium Argentina SA,E100000130688,Ternium Argentina SA [100.0%],E100000130688 [100.0%],Buenos Aires,Argentina,Central & South America,65,1960,3274,operating,3501,-33.37365,-60.138697,POINT (-6694609.1270109685 -3945005.4229269084),64633.832128563045,23.625,68.20833333,15760.487,11.077
P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],New South Wales,Australia,Asia Pacific,97,1928,3000,operating,3200,-34.463834,150.886191,POINT (16796573.949856617 -4091254.948667832),1853170.5258897757,26.70833333,142.125,7244.285,14.432
P100000120014,GFG Liberty Laverton Steel Mill,Infrabuild Australia Pty Ltd,E100001010334,GFG Alliance Ltd,E100001000556,Victoria,Australia,Asia Pacific,33,1992,,operating,780,-37.831379,144.788169,POINT (16117745.24597044 -4555632.630102394),1853170.5258897757,26.70833333,142.125,7648.459,14.432
P100000120015,GFG Liberty Sydney Steel Mill,Infrabuild Australia Pty Ltd,E100001010334,GFG Alliance Ltd,E100001000556,New South Wales,Australia,Asia Pacific,43,1982,,operating,750,-33.76601,150.849819,POINT (16792525.037337486 -3997425.9936167016),1853170.5258897757,26.70833333,142.125,7150.771,14.432
